autor;title;path;liczba_wersow;avg_dlugosc_wersu;rhymes_type;epoka
Adam_Asnyk;III__Łudząca_Maja_otworzy_ci_oczy.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\III__Łudząca_Maja_otworzy_ci_oczy.txt;19;26.789473684210527;ABAB;Pozytywizm
Adam_Asnyk;II__Wieczne_ciemności_bezdenne_otchłanie.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\II__Wieczne_ciemności_bezdenne_otchłanie.txt;19;28.473684210526315;ABAB;Pozytywizm
Adam_Asnyk;IV__Jak_ptaki_kiedy_odlatywać_poczną.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\IV__Jak_ptaki_kiedy_odlatywać_poczną.txt;19;28.842105263157894;ABAB;Pozytywizm
Adam_Asnyk;IX__Nieśmiertelności_nie_poszukuj_w_próchnie.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\IX__Nieśmiertelności_nie_poszukuj_w_próchnie.txt;19;29.05263157894737;ABAB;Pozytywizm
Adam_Asnyk;I__Zmiennego_bytu_falo_ty_ruchliwa.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\I__Zmiennego_bytu_falo_ty_ruchliwa.txt;18;30.555555555555557;ABAB;Pozytywizm
Adam_Asnyk;J._I._Kraszewskiemu.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\J._I._Kraszewskiemu.txt;35;37.42857142857143;ABAB;Pozytywizm
Adam_Asnyk;Ja_Ciebie_kocham.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Ja_Ciebie_kocham.txt;28;27.607142857142858;ABAB;Pozytywizm
Adam_Asnyk;Jedna_chwila.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Jedna_chwila.txt;43;23.27906976744186;ABBA;Pozytywizm
Adam_Asnyk;Jednego_serca!_tak_mało!_tak_mało.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Jednego_serca!_tak_mało!_tak_mało.txt;19;26.94736842105263;ABAB;Pozytywizm
Adam_Asnyk;Jedni_i_drudzy.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Jedni_i_drudzy.txt;26;26.96153846153846;ABAB;Pozytywizm
Adam_Asnyk;Jestźe_to_prawdą.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Jestźe_to_prawdą.txt;28;30.714285714285715;AABB;Pozytywizm
Adam_Asnyk;Juliuszowi_Mien.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Juliuszowi_Mien.txt;31;24.419354838709676;ABAB;Pozytywizm
Adam_Asnyk;Kamień.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Kamień.txt;41;21.0;ABAB;Pozytywizm
Adam_Asnyk;Kantata_na_jubileusz_J._I._Kraszewskiego.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Kantata_na_jubileusz_J._I._Kraszewskiego.txt;66;24.560606060606062;ABAB;Pozytywizm
Adam_Asnyk;Karmelkowy_wiersz.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Karmelkowy_wiersz.txt;31;18.677419354838708;ABBA;Pozytywizm
Adam_Asnyk;Karnawałowy_lament_poety.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Karnawałowy_lament_poety.txt;140;23.321428571428573;AABB;Pozytywizm
Adam_Asnyk;Kiedym_cię_żegnał_usta_me_milczały.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Kiedym_cię_żegnał_usta_me_milczały.txt;19;28.63157894736842;ABAB;Pozytywizm
Adam_Asnyk;Klątwa.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Klątwa.txt;11;26.727272727272727;AABB;Pozytywizm
Adam_Asnyk;Kościeliska.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Kościeliska.txt;71;24.845070422535212;ABAB;Pozytywizm
Adam_Asnyk;Krąg_przemian.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Krąg_przemian.txt;35;22.857142857142858;ABAB;Pozytywizm
Adam_Asnyk;Kwiat_paproci.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Kwiat_paproci.txt;36;29.305555555555557;ABAB;Pozytywizm
Adam_Asnyk;Legenda_pierwszej_miłości.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Legenda_pierwszej_miłości.txt;144;31.166666666666668;AABB;Pozytywizm
Adam_Asnyk;Letni_wieczór.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Letni_wieczór.txt;36;18.055555555555557;ABAB;Pozytywizm
Adam_Asnyk;Limba.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Limba.txt;36;20.97222222222222;ABAB;Pozytywizm
Adam_Asnyk;Ludzkości!.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Ludzkości!.txt;21;29.523809523809526;ABAB;Pozytywizm
Adam_Asnyk;Maciejowi_Sieczce_Przewodnikowi_w_Zakopanem.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Maciejowi_Sieczce_Przewodnikowi_w_Zakopanem.txt;162;32.08641975308642;ABAB;Pozytywizm
Adam_Asnyk;Marzenie_poranne.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Marzenie_poranne.txt;137;28.51094890510949;ABAB;Pozytywizm
Adam_Asnyk;Mgławice.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Mgławice.txt;61;22.0;ABAB;Pozytywizm
Adam_Asnyk;Miejmy_nadzieję!.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Miejmy_nadzieję!.txt;40;31.275;ABAB;Pozytywizm
Adam_Asnyk;Mirty.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Mirty.txt;80;23.125;ABAB;Pozytywizm
Adam_Asnyk;Między_nami_nic_nie_było.txt;E:\DeepArt Scalanie\FINAL\Adam_Asnyk\Między_nami_nic_nie_było.txt;24;21.041666666666668;ABAB;Pozytywizm
